Type ,Name,Instagram
food.dining,Straight Outta Sould Food,https://www.instagram.com/straight_outta__soulfood/
food.dining,Noisette Pastry Kitchen,https://www.instagram.com/noisettepk/
food.dining,Stewart Soul Fusion,https://www.instagram.com/stewartssoulfusion/
food.dining,Irie Jamaican Kitchen,https://www.instagram.com/irie_jamaicankitchen/
food.dining,Philyaw's Kitchen,https://www.instagram.com/philyawscookout/
food.dining,Equiano's Coffee,https://www.instagram.com/equianocoffee/
haircare.beauty,Blessings Hair Design,https://www.instagram.com/blessingshairdesign/
haircare.beauty,Beauty by Kinaya,https://www.instagram.com/beautybykinaya/
haircare.beauty,Glamour by A,https://www.instagram.com/glamourbya/
haircare.beauty,Yarbs and Roots,https://www.instagram.com/yarbsandroots/
haircare.beauty,Wise Warrior Botanicals,https://www.instagram.com/wisewarriorbotanicals/
haircare.beauty,Hatchet Botanicals,https://www.instagram.com/hatchetoriginals/
haircare.beauty,Mo Beauty,https://www.instagram.com/madewithsolshop/
haircare.beauty,Kings Klaws,https://www.instagram.com/elev8cannabis/
haircare.beauty,Styled by Lillie,https://www.instagram.com/styled_bylillie/
haircare.beauty,She Rocks Locks,https://www.instagram.com/sherockslocs/
cannabis.vape,Juiced Up Vapors,https://www.instagram.com/juicedupvapors/
cannabis.vape,Elev8Cannabis,https://www.instagram.com/elev8cannabis/
retail,Sweet Skins,https://www.instagram.com/sweetskinshemp/
home.decor,De La Terracotta,https://www.instagram.com/delaterracotta/
home.decor,Made with Sol,https://www.instagram.com/madewithsolshop/
health,Greene Power Health and Sports,https://www.instagram.com/livegreene35/
health,Kingdom Elite Cheerleading,https://www.instagram.com/kingdomelitecheerleading/
music,Live Chorus,https://www.instagram.com/livechorus/
music,Xcape Dance Academy,https://www.instagram.com/xcapedanceacademy/
auto,Top Class Auto Salon,https://www.instagram.com/topclassautosalon/
boutiques,Swahili African Modern,https://www.instagram.com/swahili5thst/
animal,Pawsitive Influence Dog Training,https://www.facebook.com/Pawsitive-Influence-Dog-Training-280302259523050/
